image_id,question,answer
81iZlv3bjpL,What pattern is on the pumps?,Snakeskin
81iZlv3bjpL,What type of shoe is this?,Pump
619y9YG9cnL,What is the color of the drawer slides?,White
619y9YG9cnL,How many screws are included?,Twelve
619y9YG9cnL,What type of hardware is shown?,Slides
81NP7qh2L6L,What is the dominant color of the filament?,Yellow
81NP7qh2L6L,What is the brand of this spool?,AmazonBasics
81NP7qh2L6L,What type of printer is this filament designed for?,3D
61Rp4qOih9L,What is the primary color?,Brown
61Rp4qOih9L,Is this fabric smooth?,No
714CmIfKIYL,What kind of design is on the shoe?,Floral
714CmIfKIYL,What is the main color of the shoe?,Tan
81+4dBN1jsL,What colors are on the phone case?,Three
81+4dBN1jsL,Is this a hard or soft case?,Hard
61LWeNhjZ9L,What is the primary design element on the phone case?,Butterflies
61LWeNhjZ9L,What kind of device is this case designed for?,Phone
61izEZdhlaL,What is the color of the glass?,Clear
61izEZdhlaL,Is the base of the glass square or round?,Square
61izEZdhlaL,What type of drink is this glass best suited for?,Liquor
71tgJqobw6L,What is the primary color of the phone case?,Black
71tgJqobw6L,What kind of design is featured on the back of the phone case?,Butterflies
71tgJqobw6L,Is this case designed for a Vivo phone?,Yes
71E62qS--6L,What is the primary color of the chair cover?,Blue
71E62qS--6L,What material is the chair cover made of?,Velvet
71E62qS--6L,Is the cover washable?,Yes
71QExDBDozL,What is the material of the sole?,Jute
71QExDBDozL,What kind of shoe is this?,Loafer
71Ajg8gQEoL,What are the primary colors displayed on the phone cover?,Three
71Ajg8gQEoL,Is the phone case flexible?,Yes
71z2XJ0DW2L,What is the main color of the water droplets?,Red
71z2XJ0DW2L,What phone is this case designed for?,Samsung
71z2XJ0DW2L,Is the case hard or flexible?,Flexible
81RNHjN1X5L,What is the predominant plant shown on the phone case?,Cactus
81RNHjN1X5L,What kind of case is this?,Hard
81RNHjN1X5L,What color is the flower?,Red
61Q0baX067L,What animal is featured on the phone case?,Cat
61Q0baX067L,What is the background color of the phone case?,Pink
71aiNHh7MOL,What city is featured on this phone cover?,Paris
71aiNHh7MOL,What is the predominant color in the upper portion of the case?,Blue
71n4+cwHf0L,What plant is featured on the phone case?,Cactus
71n4+cwHf0L,What is the case material?,Hard
71I4fD2ZneL,What object is dangling above the cup?,Chain
71I4fD2ZneL,What is the color of the phone case?,Multicolor
71I4fD2ZneL,Is there a face on the cup?,Yes
61kDp2x8tPL,What is the primary stone shape?,Square
61kDp2x8tPL,What is the metal plating color?,Silver
61kDp2x8tPL,How many earrings are visible?,Two
71ynBbd33HL,What is the background color of the phone case?,blue
71ynBbd33HL,What kind of flowers are printed on the case?,tulips
71ynBbd33HL,How many flowers are fully visible on the case?,two
71NA-B-bFdL,What is the pattern on the back of the phone case?,Arrows
71NA-B-bFdL,What is the color of the arrows?,Black
71tjy4Ekf5L,What is the color of the handle?,Gold
71tjy4Ekf5L,Is there a keyhole visible?,Yes
91IjyKZ76qL,What is the main color of the desert sand?,White
91IjyKZ76qL,What is holding the photo up?,Hanger
810fadO2BML,What is the texture of the phone cover?,Foil
810fadO2BML,Is this a hard or soft case?,Hard
61O+zPYa5AL,What is the main color of the candle?,Red
61O+zPYa5AL,What is the product's purpose?,Protection
71fT96mT39L,What is the main design element on the phone case?,Train
71fT96mT39L,What type of phone is this case designed for?,Samsung
71q5qvcwI7L,What word is partially visible on the case?,Love
71q5qvcwI7L,What shape is prominently featured on the phone case?,Heart
71q5qvcwI7L,Is this case designed for a Nokia phone?,Yes
61NxifiMbuL,What is the main color of the flowers?,Pink
61NxifiMbuL,What is the design on the phone case?,Flowers
61NxifiMbuL,Is this a hard or soft case?,Hard
61XWVe-B-sL,What letter is displayed on the phone case?,C
61XWVe-B-sL,What is the main color of the background on the phone case?,Black
81n2LMvnU-L,What is the main color of the phone case?,Orange
81n2LMvnU-L,Is this a hard or soft case?,Hard
81n2LMvnU-L,What phone is this case designed for?,Nokia
71TKqDLGitL,What is the main color of the floral pattern?,Red
71TKqDLGitL,What kind of product is shown?,Sheet
61eajEqMf6L,What phrase is printed on the phone case?,Never Be Alone
61eajEqMf6L,What is the brand of the phone case?,Solimo
61eajEqMf6L,What object is depicted between the words 'Never' and 'Be'?,Moon
614LbFKgSsL,What color is the submersible pump?,Black
614LbFKgSsL,What is the purpose of the floating object?,Switch
614YqF9mtTL,What part of the body is the brace supporting?,Back
614YqF9mtTL,What color are the shorts?,Blue
71RKqQao9rL,What kind of closure do these shoes have?,None
71RKqQao9rL,What color are the shoes?,White
71kE0ihplPL,What is the primary color of the loafers?,Brown
71kE0ihplPL,Are these shoes designed with laces?,No
71kE0ihplPL,What shape is the toe of the shoe?,Round
81fnogeiBfL,What animal is featured on this phone case?,Lion
81fnogeiBfL,What is the background color behind the lion?,Black
81fnogeiBfL,Is the case designed for a Huawei phone?,Yes
51TKpL0ljxL,What color is the bedding set?,Pink
51TKpL0ljxL,How many pillowcases are included?,Two
71x4c-BafpL,What is the primary material of the speaker stand?,Steel
71x4c-BafpL,What is the stand's leg configuration?,Tripod
71x4c-BafpL,What color is the speaker stand?,Black
71-eMu0gN+L,What color are the tassels?,Metallic
71-eMu0gN+L,What kind of closure does this shoe have?,Slip-on
610jXVKNJpL,What material is the glass made of?,Glass
610jXVKNJpL,What is the color of the glass?,Clear
610jXVKNJpL,Is the glass dishwasher safe?,Yes
716zkGeKvyL,What is the dominant color of the case?,Brown
716zkGeKvyL,Is the camera lens covered?,No
716zkGeKvyL,What is the design style of the case?,Wooden
71S0F2JJXEL,What phrase is written on the back?,Girlboss
71S0F2JJXEL,What is the color of the case?,Black
61OnkGVhMWL,What kind of product is this?,Headboard
61OnkGVhMWL,What is the brand name?,AmazonBasics
61p9OeSQH1L,How many candles are in the set?,Fifty
61p9OeSQH1L,What shape are these candles?,Round
818R27QVJSL,What is the primary color of the wallet?,Navy
818R27QVJSL,What type of closure does the wallet have?,Snap
818R27QVJSL,How many zippers can you see?,One
515SRd7XpuL,What color are the stones?,Green
515SRd7XpuL,How many earrings are displayed?,Two
515SRd7XpuL,What type of jewelry is this?,Earrings
81jPNIa-+1L,What phrase is printed on the back?,Takeiteasy
81jPNIa-+1L,Is this a hard or soft case?,Hard
81jPNIa-+1L,What phone is this case for?,HTC
71oFcjO2ZsL,What is the main color of the water drop design?,Red
71oFcjO2ZsL,Is this a hard or soft case?,Hard
71S8jh9mayL,What is the primary color of the brogue?,Blue
71S8jh9mayL,Is the shoe a brogue?,Yes
61uONZVpAEL,What is the primary color of the loafer?,Black
61uONZVpAEL,What material is the upper part of the shoe made of?,Suede
61uONZVpAEL,Does the shoe have laces?,Wraparound
710JUcXJ37L,What is the main color in the swirl pattern?,Orange
710JUcXJ37L,How many accessories are displayed?,Two
71pbhQgbcZL,What shape is formed by the colorful candies?,Heart
71pbhQgbcZL,What phone model is this case designed for?,Redmi
81i4JjJs5RL,What is the primary color of the phone case?,Grey
81i4JjJs5RL,Is the case's design textured?,Yes
814RXC4DgkL,What is the closure style of the shoes?,Lace-up
814RXC4DgkL,What shape is the toe of these shoes?,Round
814RXC4DgkL,What color are these formal shoes?,Tan
81oNfRT6ebL,What type of cream is shown?,Light
81oNfRT6ebL,What is the brand name?,365
81oNfRT6ebL,Is this product organic?,Yes
71kGA2ndq+L,What is the main color of the circles?,Pink
71kGA2ndq+L,Is the back cover hard or soft?,Hard
71kGA2ndq+L,What phone model is this cover for?,Asus
71+R8dguS-L,What letter is on the phone case?,X
71+R8dguS-L,What type of material is printed on the case?,Denim
61fH9aTfMIL,What type of shoe is shown?,Loafer
61fH9aTfMIL,What is the primary color of the shoe?,Tan
71Qitt7H5gL,What is the design on the phone case?,Abstract
71Qitt7H5gL,Is the phone case hard or soft?,Hard
91T4zCd6GhL,What flavor are these cashews?,Chai
91T4zCd6GhL,What company sells this product?,365
91T4zCd6GhL,Is this a seasonal item?,Yes
61y3xfkEpeL,What shape are most of the designs?,Heart
61y3xfkEpeL,What country's flag is visible?,UK
81HZcUs-M-L,What phone is this case for?,Sony
81HZcUs-M-L,Is the phone case colorful?,Yes
71iYoiN49ML,What color is the sky?,Blue
71iYoiN49ML,What is the setting of the poster?,Desert
71jqvQpWecL,What material is the faucet made of?,Metal
71jqvQpWecL,What is the handle's orientation?,Vertical
71jqvQpWecL,What is the color of the faucet?,Silver
7197RZj+FhL,What animal is featured on the phone case?,Kitten
7197RZj+FhL,What is the color of the kitten's eyes?,Green
7197RZj+FhL,Is the kitten covered?,Yes
71cyz3P4DKL,What is the closure style of this footwear?,Slip-on
71cyz3P4DKL,What color are these formal shoes?,Black
71cyz3P4DKL,What material is the shoe made of?,Leather
71ASEq6croL,What is the color of the toilet paper holder?,Nickel
71ASEq6croL,What is the style of this holder?,Euro
71OVrZZpVsL,What is the dominant color of the sea in the image?,Blue
71OVrZZpVsL,Is the phone case design a landscape or portrait orientation?,Portrait
61ktISpxZxL,What animal is represented on the hat?,Cat
61ktISpxZxL,How many pieces are included in this set?,Three
61ktISpxZxL,What two colors are on the hat?,Red/Black
71g+HeEpvIL,What animal is featured on the case?,Panda
71g+HeEpvIL,What is the background color of the phone case?,Pink
61yQuUZwK9L,What is the main color of the background?,black
61yQuUZwK9L,What is the product designed for?,phone
61yQuUZwK9L,What is the pattern on the case?,bottles
815S5YTiRdL,What color is the velvet curtain?,Pink
815S5YTiRdL,Is the curtain lined?,No
815S5YTiRdL,Is this curtain suitable for a farmhouse style?,Yes
71i9fZHR9GL,What animal is printed on the case?,Toucan
71i9fZHR9GL,What type of product is this?,Case
81L8EV8ocAL,What is the closure style?,Lace-up
81L8EV8ocAL,What is the toe shape?,Round
81L8EV8ocAL,What is the shoe's primary color?,Grey
51fDZFHuHjL,What is the brand of these products?,Belei
51fDZFHuHjL,Which product is for spot treatment?,Tube
91ULzMo7OZL,What color is the backpack?,Blue
91ULzMo7OZL,How many straps are visible on the front?,Four
91ULzMo7OZL,Does this backpack have a top handle?,Yes
81K5E-eHzIL,What material does the pattern resemble?,Wicker
81K5E-eHzIL,What phone is this case designed for?,Samsung
71i72HlSU-L,How many cylindrical shaped bags are present?,Two
71i72HlSU-L,What color is the zipper on the bottom right bag?,Pink
71i72HlSU-L,Are the bags see-through?,Yes
71m+J7fdPxL,What is the main color of the padded hanger?,Ivory
